product,avgRating,reviews,color
Kindle Paperwhite,5.0,"I have to say upfront - I don't like coroporate, hermetically closed stuff like anything by Apple or in this case, Amazon. I like having devices on which I can put anything I want and use it. But...I was a fairly happy user of a Nook Touch for several years, but couldn't use all its functionalities since I live in Serbia. Then I lost the Nook and since no other devices can actually be fully used in Serbia (buying books with them, using their online capabilities) except the Kindle, and since no one except Amazon ships to Serbia, and since I've actually been a happy Amazon customer since 2005 over friends' accounts and since 2007 through my own, and since the Kindle definitely has the best technology - why not buy itSo I did. What I read in many reviews about the screen/light of the Paperwhite and similar devices was no problem with mine. The light disperses just fine, except a few black blotches (maybe you can see it in the picture) at the bottom of the screen, which are actually shadows of the black plastic casing and thus can't really be avoided. As you can see in the picture without the light - there are no blotches with light out.The Paperwhite's screen is just marvelous at 300 ppi, the touchscreen works just fine, the store works here in Serbia, and in these two days I've been using it, I'm a happy guy.I had to get the hang on how to make sideloaded books behave at least almost like Amazon books, but that's fine. That's the one thing I'd like to see Amazon do in some future upgrades: make the Kindle treat sideloaded books just like the ones bought from them directly, with sharing funcion (quotes and Goodreads) enabled and so on.The size is perfect, it sits very well in the hand, the light doesn't hurt the eyes in the dark (like the light on a tab does)... the packaging was fine, no problems there and what remains to be seen now is the battery life.So far, I can only recommend it.",black
All-New Fire 7 Tablet with Alexa,5.0,"Much improved screen!It turns out that the 49.95 Fire 7 version released two years ago didn't have an IPS screen.Now it does.Technically, both the old one and this new one are just 171 ppi (pixels per inch) but this one seems much crisper than the first generation 49-er.My eyes don't lie. IPS makes the screen a lot crisper!There's also a stunning improvement in color quality with the new screen. Now it holds its own with the 62 color gamut original iPad Mini before, it wasn't anywhere near.Mind you it's not current Apple screen quality, or current high-end Samsung screen quality - but what is It's only 49.95, and it's good enough. Heck, at 49.95, its MORE than good enough, it's great. It blows away just about any entry level consumer laptop screen, that's for sure.I pulled out my 2015 first-gen, 49.95 Fire 7 - the one this replaces - and placed it side by side with this new one. The colors (including a horrific green tint on white backgrounds) on the old one weren't video-worthy - ok for casual videos on Facebook and YouTube, maybe, but not good enough for Netflixing and Amazon Prime.This new one, though It's movie-worthy, especially with earphones (ok, ONLY with earphones). I'd prefer 720p over the Fire 7's 600p (600p is better than 480p DVD's, but not ask good as even entry-level - 720p - HDTV quality), but overall even at 600p it's eminently watchable.By the way, for me streaming video content on Amazon Prime Instant Video has been noticeably sharper than streaming YouTube. I think Amazon Prime adapts to 600p (max for this tablet) while YouTube is is probably delivering only 480p (remember YouTube's defaults are 360p/480p/720p and up).Read more",green
Kindle E-reader - Black,5.0,"I don't know why there are so many bad reviews. First of, let's start off by pointing out the obvious, it's under 100. You're not going to receive a Kindle Paperwhite. Before you order, read the specs and compare it to the other Kindles. Yes, the specs say it doesn't have backlighting so honestly, there shouldn't be one ounce of surprise when you receive this. I on the other hand, love this little Kindle. I have had the new Kindle Paperwhite and I really didn't like how big it was to hold in my small hands. I don't have children hands, but I'm a female and my hands are on the small side. Maybe for a male this would be kind of small, Idk. Anyway, it is smaller than the Paperwhite, but I love that. I also love the fact that it doesn't come with a light. I used to read at night with the Paperwhite, but that light gave me a headache so I stopped. It is NOT as dark as these bad reviews make it seem. You can read perfectly fine being indoors. They're exaggerating. This feels more like a book to me than the Kindle Paperwhite ever did. The letters on this Kindle are amazing. I don't even notice the difference between ppi and I love that the letters are way darker than the Paperwhite. The paperwhite had a grey hue to them and I didn't feel like I was reading a book. I felt like I actually holding a technical device to read a book. Of course since this doesn't have a backlight, you cannot read in the dark. It's common sense. If you want to read at night, purchase a little book light that are super inexpensive and attach it to your kindle. It's not a big deal and you're not going to break the bank buying a 119.99 item when you can buy this little awesome e-book reader for 79.99. Think about when the light runs out of your expensive other e-books...Read more",grey
Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Indigo Fabric,4.666666666666667,"I'm a huge fan of the Echo family. I have two Echo's, three Dots and one Tap. No they aren't essential to my life but I love playing music, listening to the news and controlling the Philips Hue smart lights throughout my home. It was a large investment that most of the population won't make - with that being said I am not a huge fan of the way the hockey puck Dots look like. Glossy plastic looks a little cheap to me although it has no effect on the performance of them. Having the Dot cover is a great option and it looks fantastic.Some reviewers say they look cheap or fit too loose - I'm not sure why people are moving their Dots. Since Dots are made to be stationary, have a loose fitting cover isn't an issue. To me, it fits perfectly. They also aren't made of real fabric, but the important part is that it does look like the fabric in the picture. Not being fabric is a better option considering plastic is much more durable than material and will hold its color better if your Dot happens to get sunlight.I bought three covers - Blue, Grey and White. They all look good but the grey is my favorite as it doesn't attract more attention than it needs to. With that being said, I like all three colors.",Blue
Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Indigo Fabric,4.666666666666667,Changes the whole look of the Echo ... after i purchased i think i should have gone with the tan leather. But blue is my favorite color and it adds a bit of a pop to a mundane looking black disk! The texture is also really nice feel and look to it!,tan
Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Indigo Fabric,4.666666666666667,"I'm a huge fan of the Echo family. I have two Echo's, three Dots and one Tap. No they aren't essential to my life but I love playing music, listening to the news and controlling the Philips Hue smart lights throughout my home. It was a large investment that most of the population won't make - with that being said I am not a huge fan of the way the hockey puck Dots look like. Glossy plastic looks a little cheap to me although it has no effect on the performance of them. Having the Dot cover is a great option and it looks fantastic.Some reviewers say they look cheap or fit too loose - I'm not sure why people are moving their Dots. Since Dots are made to be stationary, have a loose fitting cover isn't an issue. To me, it fits perfectly. They also aren't made of real fabric, but the important part is that it does look like the fabric in the picture. Not being fabric is a better option considering plastic is much more durable than material and will hold its color better if your Dot happens to get sunlight.I bought three covers - Blue, Grey and White. They all look good but the grey is my favorite as it doesn't attract more attention than it needs to. With that being said, I like all three colors.Edit 07/11/2017 - These covers hold up well over time. Mine haven't collected dust or faded. I've kept them on for over half a year and not a single issue (not that I'd expect any besides possible fading).",Blue
Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Saddle Tan Leather,4.666666666666667,Changes the whole look of the Echo ... after i purchased i think i should have gone with the tan leather. But blue is my favorite color and it adds a bit of a pop to a mundane looking black disk! The texture is also really nice feel and look to it!,tan
Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Saddle Tan Leather,4.666666666666667,"I'm a huge fan of the Echo family. I have two Echo's, three Dots and one Tap. No they aren't essential to my life but I love playing music, listening to the news and controlling the Philips Hue smart lights throughout my home. It was a large investment that most of the population won't make - with that being said I am not a huge fan of the way the hockey puck Dots look like. Glossy plastic looks a little cheap to me although it has no effect on the performance of them. Having the Dot cover is a great option and it looks fantastic.Some reviewers say they look cheap or fit too loose - I'm not sure why people are moving their Dots. Since Dots are made to be stationary, have a loose fitting cover isn't an issue. To me, it fits perfectly. They also aren't made of real fabric, but the important part is that it does look like the fabric in the picture. Not being fabric is a better option considering plastic is much more durable than material and will hold its color better if your Dot happens to get sunlight.I bought three covers - Blue, Grey and White. They all look good but the grey is my favorite as it doesn't attract more attention than it needs to. With that being said, I like all three colors.",Blue
Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Saddle Tan Leather,4.666666666666667,"I'm a huge fan of the Echo family. I have two Echo's, three Dots and one Tap. No they aren't essential to my life but I love playing music, listening to the news and controlling the Philips Hue smart lights throughout my home. It was a large investment that most of the population won't make - with that being said I am not a huge fan of the way the hockey puck Dots look like. Glossy plastic looks a little cheap to me although it has no effect on the performance of them. Having the Dot cover is a great option and it looks fantastic.Some reviewers say they look cheap or fit too loose - I'm not sure why people are moving their Dots. Since Dots are made to be stationary, have a loose fitting cover isn't an issue. To me, it fits perfectly. They also aren't made of real fabric, but the important part is that it does look like the fabric in the picture. Not being fabric is a better option considering plastic is much more durable than material and will hold its color better if your Dot happens to get sunlight.I bought three covers - Blue, Grey and White. They all look good but the grey is my favorite as it doesn't attract more attention than it needs to. With that being said, I like all three colors.Edit 07/11/2017 - These covers hold up well over time. Mine haven't collected dust or faded. I've kept them on for over half a year and not a single issue (not that I'd expect any besides possible fading).",Blue
Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Midnight Leather,4.666666666666667,Changes the whole look of the Echo ... after i purchased i think i should have gone with the tan leather. But blue is my favorite color and it adds a bit of a pop to a mundane looking black disk! The texture is also really nice feel and look to it!,tan
Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Midnight Leather,4.666666666666667,"I'm a huge fan of the Echo family. I have two Echo's, three Dots and one Tap. No they aren't essential to my life but I love playing music, listening to the news and controlling the Philips Hue smart lights throughout my home. It was a large investment that most of the population won't make - with that being said I am not a huge fan of the way the hockey puck Dots look like. Glossy plastic looks a little cheap to me although it has no effect on the performance of them. Having the Dot cover is a great option and it looks fantastic.Some reviewers say they look cheap or fit too loose - I'm not sure why people are moving their Dots. Since Dots are made to be stationary, have a loose fitting cover isn't an issue. To me, it fits perfectly. They also aren't made of real fabric, but the important part is that it does look like the fabric in the picture. Not being fabric is a better option considering plastic is much more durable than material and will hold its color better if your Dot happens to get sunlight.I bought three covers - Blue, Grey and White. They all look good but the grey is my favorite as it doesn't attract more attention than it needs to. With that being said, I like all three colors.Edit 07/11/2017 - These covers hold up well over time. Mine haven't collected dust or faded. I've kept them on for over half a year and not a single issue (not that I'd expect any besides possible fading).",Blue
Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Midnight Leather,4.666666666666667,"I'm a huge fan of the Echo family. I have two Echo's, three Dots and one Tap. No they aren't essential to my life but I love playing music, listening to the news and controlling the Philips Hue smart lights throughout my home. It was a large investment that most of the population won't make - with that being said I am not a huge fan of the way the hockey puck Dots look like. Glossy plastic looks a little cheap to me although it has no effect on the performance of them. Having the Dot cover is a great option and it looks fantastic.Some reviewers say they look cheap or fit too loose - I'm not sure why people are moving their Dots. Since Dots are made to be stationary, have a loose fitting cover isn't an issue. To me, it fits perfectly. They also aren't made of real fabric, but the important part is that it does look like the fabric in the picture. Not being fabric is a better option considering plastic is much more durable than material and will hold its color better if your Dot happens to get sunlight.I bought three covers - Blue, Grey and White. They all look good but the grey is my favorite as it doesn't attract more attention than it needs to. With that being said, I like all three colors.",Blue
Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Charcoal Fabric,4.666666666666667,Changes the whole look of the Echo ... after i purchased i think i should have gone with the tan leather. But blue is my favorite color and it adds a bit of a pop to a mundane looking black disk! The texture is also really nice feel and look to it!,tan
Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Charcoal Fabric,4.666666666666667,"I'm a huge fan of the Echo family. I have two Echo's, three Dots and one Tap. No they aren't essential to my life but I love playing music, listening to the news and controlling the Philips Hue smart lights throughout my home. It was a large investment that most of the population won't make - with that being said I am not a huge fan of the way the hockey puck Dots look like. Glossy plastic looks a little cheap to me although it has no effect on the performance of them. Having the Dot cover is a great option and it looks fantastic.Some reviewers say they look cheap or fit too loose - I'm not sure why people are moving their Dots. Since Dots are made to be stationary, have a loose fitting cover isn't an issue. To me, it fits perfectly. They also aren't made of real fabric, but the important part is that it does look like the fabric in the picture. Not being fabric is a better option considering plastic is much more durable than material and will hold its color better if your Dot happens to get sunlight.I bought three covers - Blue, Grey and White. They all look good but the grey is my favorite as it doesn't attract more attention than it needs to. With that being said, I like all three colors.Edit 07/11/2017 - These covers hold up well over time. Mine haven't collected dust or faded. I've kept them on for over half a year and not a single issue (not that I'd expect any besides possible fading).",Blue
Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Charcoal Fabric,4.666666666666667,"I'm a huge fan of the Echo family. I have two Echo's, three Dots and one Tap. No they aren't essential to my life but I love playing music, listening to the news and controlling the Philips Hue smart lights throughout my home. It was a large investment that most of the population won't make - with that being said I am not a huge fan of the way the hockey puck Dots look like. Glossy plastic looks a little cheap to me although it has no effect on the performance of them. Having the Dot cover is a great option and it looks fantastic.Some reviewers say they look cheap or fit too loose - I'm not sure why people are moving their Dots. Since Dots are made to be stationary, have a loose fitting cover isn't an issue. To me, it fits perfectly. They also aren't made of real fabric, but the important part is that it does look like the fabric in the picture. Not being fabric is a better option considering plastic is much more durable than material and will hold its color better if your Dot happens to get sunlight.I bought three covers - Blue, Grey and White. They all look good but the grey is my favorite as it doesn't attract more attention than it needs to. With that being said, I like all three colors.",Blue
All-New Fire HD 8 Tablet with Alexa,4.6,"So happy with my new fire and I wish I had bought more! Some of the PROS of this tablet are it has Alexa, Memory expansion slot, and a nice size. At 8 inches it is the perfect size to take on the go and Ebook . It is a little thicker than some of the more expensive tablets on the market but because of this it seems more durable especially for kids. The apps and games seem to run smoothly and the colors are good on screen. I install the Google Play store and Connect to the google play store to download apps is easy, like youtube. Without the Google Play store you will stuck with the Amazon store and apps.I often use the tablet to watch videos with my meidong E6 bluetooth headphones Meidong E6ANC Bluetooth Headphones Active Noise Cancelling Headphones Wireless Stereo headphones with Microphone, Ergonomic Design for Kids Adult-Black this is a excellent headphones with noise cancelling at an affordable price if you are looking for, this is right for you. And it has two colors for choice, black and rosegold,I have bought two. I did some research and found that the meidong company is an audio electronics innovator specializing in bluetooth/ANC headphones, vibration speakers,wifi speakers. No wonder their headphones sound really nice, also recommend.Back to here,The only 1 CONS I would say about that The tablet has two camera, rear is 2mp and front is 0.3mp, very very basic. Having two speakers but the speaker is not great.Overall, it is a good value for the price,This tablet can do whatever other tablets those cost twice or triple the price do.",Black
Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Merlot Leather,4.571428571428571,Changes the whole look of the Echo ... after i purchased i think i should have gone with the tan leather. But blue is my favorite color and it adds a bit of a pop to a mundane looking black disk! The texture is also really nice feel and look to it!,tan
Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Merlot Leather,4.571428571428571,"I'm a huge fan of the Echo family. I have two Echo's, three Dots and one Tap. No they aren't essential to my life but I love playing music, listening to the news and controlling the Philips Hue smart lights throughout my home. It was a large investment that most of the population won't make - with that being said I am not a huge fan of the way the hockey puck Dots look like. Glossy plastic looks a little cheap to me although it has no effect on the performance of them. Having the Dot cover is a great option and it looks fantastic.Some reviewers say they look cheap or fit too loose - I'm not sure why people are moving their Dots. Since Dots are made to be stationary, have a loose fitting cover isn't an issue. To me, it fits perfectly. They also aren't made of real fabric, but the important part is that it does look like the fabric in the picture. Not being fabric is a better option considering plastic is much more durable than material and will hold its color better if your Dot happens to get sunlight.I bought three covers - Blue, Grey and White. They all look good but the grey is my favorite as it doesn't attract more attention than it needs to. With that being said, I like all three colors.Edit 07/11/2017 - These covers hold up well over time. Mine haven't collected dust or faded. I've kept them on for over half a year and not a single issue (not that I'd expect any besides possible fading).",Blue
Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Sandstone Fabric,4.571428571428571,"I'm a huge fan of the Echo family. I have two Echo's, three Dots and one Tap. No they aren't essential to my life but I love playing music, listening to the news and controlling the Philips Hue smart lights throughout my home. It was a large investment that most of the population won't make - with that being said I am not a huge fan of the way the hockey puck Dots look like. Glossy plastic looks a little cheap to me although it has no effect on the performance of them. Having the Dot cover is a great option and it looks fantastic.Some reviewers say they look cheap or fit too loose - I'm not sure why people are moving their Dots. Since Dots are made to be stationary, have a loose fitting cover isn't an issue. To me, it fits perfectly. They also aren't made of real fabric, but the important part is that it does look like the fabric in the picture. Not being fabric is a better option considering plastic is much more durable than material and will hold its color better if your Dot happens to get sunlight.I bought three covers - Blue, Grey and White. They all look good but the grey is my favorite as it doesn't attract more attention than it needs to. With that being said, I like all three colors.Edit 07/11/2017 - These covers hold up well over time. Mine haven't collected dust or faded. I've kept them on for over half a year and not a single issue (not that I'd expect any besides possible fading).",Blue
